,Unnamed: 0,CaseId,WEIGHT,LGBT,Q1,Q2,Q3,Q4A,Q4B,Q4C,Q4D,Q4E,Q4F,Q4G,Q5,Q5_OE,Q6,Q6_OE,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8G,Q8G_OE,Q9,Q11,Q12A,Q12B,Q12C,Q12D,Q12E,Q12F,Q12G,Q12H,Q13A,Q13B,Q13C,Q13D,Q13E,Q13F,Q13G,Q13H,Q13I,Q14A,Q14B,Q14C,Q15,Q16A,Q16B,Q16C,Q17,Q18,Q19,Q20,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q23E,Q23F,Q23G,Q23H,Q23I,Q23J,Q24A,Q24B,Q24C,Q24D,Q24E,Q24F,Q24G,Q24H,Q24I,Q24I_OE,Q24J,Q24AA,Q24AB,Q24AC,Q24AD,Q24AE,Q24AF,Q24AG,Q24AH,Q25,Q26,Q27,Q28_1A,Q28_1B,Q28_1C,Q28_1D,Q28_1E,Q28_1F,Q28_1G,Q28_1H,Q28_1I,Q28_1J,Q28_1K,Q28_2A,Q28_2B,Q28_2C,Q28_2D,Q28_2E,Q28_2F,Q28_3A,Q28_3B,Q28_3C,Q28_3D,Q28_3E,Q28_3F,Q28_4A,Q28_4B,Q28_4C,Q28_4D,Q28_4E,Q28_4F,Q28_4G,Q28_5A,Q28_5B,Q28_5C,Q28_5D,Q28_5E,Q28_5F,Q28_5G,Q28_5H,Q28_5I,Q28_5J,Q28_5K,Q28_5L,Q28_6A,Q28_6B,Q28_6C,Q28_6D,Q28_6E,Q28_7A,Q28_7B,Q28_7C,Q28_7D,Q29,Q30,D4,D5A,D5B,D5C,D5D,D5E,D6,D7A,D7B,D8,D9A,D9B,D9C,D10,D11_1,D11_2,D11_3,D11_4,D11_5,D11_6,D11_DK,D11_SKP,D11_REF,HHSERVACT,D13,D14,D15,D16,D18,D20,D22,PartyID5,PARTYID7,D24A,D24B,D24C,D24D,D24E,D24F,D24G,D24H,D24I,D24J,D24K,D24L,D24M,D24N,D24N_OE,D26,STARTDT,ENDDT,duration,SURV_MODE,SURV_LANG,Device,LGBTFLAG,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC,EDUC4,MARITAL,EMPLOY,INCOME,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,AgeCheck,Age50plus,Age45plus,Agemember,Wideage,SPSSAge,Newincome,Ageliving,Age65plus,Age70plus,Age75plus,LGBT_NOT,NewD7A,Disablecombo,newdisable,NewD7B,Combodisable,Commtype,Age5064v1,age5064v2,Age65plus2,AgeAll,Generations,Agealt,Agealt2,CASTATE,filter_$,Ownership,housecomp,dumunder18,dumover18,dumcollege,dumparents,dumother,countInHouse,uses_pt,number_of_modes,independent_travel,dependent_travel,both_travel,senior
1203,1203,5116.0,2.1043662865,Straight (that is not gay/lesbian),Somewhat agree,Neither agree nor disagree,Move to a different community,No,No,No,No,No,No,No,An apartment,,Rent,,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,No,Yes,No,,,,Not very likely,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,0,1,0,0,0,0,0,Yes,No,,0,,,,,,,,,No,,Not at all willing,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,4.0,4.0,4.0,3.0,3.0,3.0,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Not very important,Very important,Somewhat interested,Somewhat willing,No,Yes,No,No,No,No,Good,No,,Several times a week,0,0,0,Yes,No,No,Yes,No,No,No,No,No,No,0.0,,No,No,Not very likely,Employed full-time,Speak Spanish only,Never,Unknown,Unknown,Major source,Not a source,Not a source,Not a source,Not a source,SKIPPED ON WEB,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Urban near mix of offices, apartments and shops",2018-03-29 16:36:41,2018-04-02 02:44:31,4927.0,Web Interview,Spanish,Smartphone,,Male,28.0,18-29,25-34,Hispanic,"1st, 2nd, 3rd, or 4th grade",No HS diploma,Living with partner,Working - as a paid employee,"$125,000 to $149,999",California,West,Pacific,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,6.0,0.0,0.0,2.0,0.0,5.0,25-29,18-49,18-44,18-34,18-44,18-29,$75K+,18-29,18-44,18-44,18-44,NOT LGBT,No,,No,0.0,No,Urban,18-49,18-49,18-49,25-34,Gen Y,18-44,,CA,Selected,Rent,,Yes,Other,Other,Other,Other,1.0,0,1,1,0,0,0
1204,1204,5117.0,0.1287824684,Gay/lesbian,Somewhat disagree,Somewhat disagree,Not sure,Yes,Yes,Yes,Yes,Yes,No,Yes,A mobile home,,Own,,No,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Currently share my home with someone,,,,Yes,Yes,A few times per year,Personal,Very satisfied,Very likely,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Somewhat familiar,Not very willing,Very important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important,Somewhat important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,4.0,5.0,5.0,5.0,5.0,5.0,Very important,Extremely important,Somewhat important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Extremely important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very interested,Very willing,Yes,No,No,No,No,Yes,Very good,"Yes, myself",,Several times a week,0,1,0,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,No,No,Somewhat likely,Retired and not working at all,,Always,Democrat,Strong Democrat,Major source,Minor source,Not a source,Not a source,Not a source,Not a source,Minor source,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Small town,2018-03-30 11:59:47,2018-03-30 12:12:44,12.0,Web Interview,English,Tablet,1.0,Female,77.0,60+,75+,"White, non-Hispanic",Masters degree,BA or above,Married,Not working - retired,"$175,000 to $199,999",California,West,Pacific,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",2.0,0.0,0.0,0.0,0.0,2.0,65+,50+,45+,65+,70+,60+,$75K+,65+,65+,70+,75+,LGBT,Yes,,Yes disability,0.0,Yes disability,Small Town-Rural,65+,65+,65+,50+,The Silent Generation,75-84,75-84,CA,Selected,Own,,Other,Other,Other,Other,Yes,1.0,0,1,1,0,0,1
1205,1205,5118.0,1.1965195081,Straight (that is not gay/lesbian),Somewhat agree,Neither agree nor disagree,Not sure,Yes,No,Yes,No,No,No,No,A single family house,,Own,,Yes,No,Yes,No,Yes,Yes,No,No,,No,Yes,A minor reason,Not a reason,A minor reason,A minor reason,A minor reason,Not a reason,Not a reason,A minor reason,,,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,I have used it before but do not regularly use it,Personal,Very satisfied,Very likely,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,SKIPPED ON WEB,Not a reason,Not a reason,Not a reason,0,0,0,0,0,0,0,SKIPPED ON WEB,SKIPPED ON WEB,,0,,,,,,,,,Yes,Not at all familiar,Not very willing,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,3.0,4.0,4.0,4.0,4.0,4.0,Extremely important,Extremely important,Somewhat important,Very important,Very important,Extremely important,Very important,Not very important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Not at all interested,Not very willing,No,No,Yes,No,No,Yes,Fair,,Yes,Several times a week,2,2,2,Yes,,,,,,,,,,0.0,"No, I never served",No,Yes,,Retired and not working at all,,Most of the time,Republican,Moderate Republican,Not a source,Major source,Not a source,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Small town,2018-03-24 06:24:30,2018-03-24 09:41:49,197.0,Web Interview,English,Smartphone,,Female,66.0,60+,65-74,"White, non-Hispanic",11th grade,No HS diploma,Widowed,Not working - retired,"$40,000 to $49,999",Louisiana,South,West South Central,Metro Area,Internet Household,Rented for cash,A building with 2 or more apartments,Cellphone only,4.0,0.0,0.0,0.0,0.0,4.0,65+,50+,45+,65+,60-69,60+,"$25K-$49,999K",65+,65+,60-69,65-74,NOT LGBT,,,0.0,Yes disability,Yes disability,Small Town-Rural,65+,65+,65+,50+,Baby Boomers,65-74,65-74,Other,Selected,Own,,Other,Yes,Other,Other,Yes,2.0,0,0,0,0,0,1
1207,1207,5122.0,1.469334616,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Stay in your current residence and never move,Yes,No,Yes,No,No,Yes,Yes,A single family house,,Own,,No,,,,,,,,,No,No,,,,,,,,,A major reason,A major reason,A minor reason,Not a reason,A major reason,A minor reason,Not a reason,A major reason,A minor reason,No,Yes,No,Yes,,,,No,,,,,Not very likely,A minor reason,A minor reason,A minor reason,A minor reason,A major reason,A minor reason,A minor reason,A minor reason,A minor reason,A minor reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Not at all familiar,Very willing,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,2.0,4.0,4.0,3.0,3.0,3.0,Somewhat important,Very important,Not very important,Not very important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Not very interested,Somewhat willing,Yes,No,No,No,No,No,Fair,No,,Everyday,2,1,1,Yes,No,No,Yes,No,No,No,No,No,No,0.0,,No,No,Not very likely,Retired and not working at all,Speak English only,Most of the time,Republican,Moderate Republican,Minor source,Major source,Major source,Not a source,Not a source,Not a source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Small town,2018-03-28 16:46:23,2018-03-28 17:16:36,30.0,Phone interview,English,Phone interview (not online),,Male,64.0,60+,55-64,Hispanic,"Some college, no degree",Some college,Married,Not working - retired,"$20,000 to $24,999",Illinois,Midwest,East North Central,Non-Metro Area,Non-internet household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,2.0,0.0,0.0,0.0,0.0,1.0,60-64,50+,45+,50-64,60-69,60+,Less than $25K,50-64,50-64,60-69,50-64,NOT LGBT,No,,No,0.0,No,Small Town-Rural,50-64,50-64,50-64,50+,Baby Boomers,45-64,45-64,Other,Selected,Own,,Other,Other,Other,Other,Other,0.0,0,1,1,0,0,1
1208,1208,5124.0,0.4843602961,Straight (that is not gay/lesbian),Neither agree nor disagree,Somewhat disagree,Move to a different community,Yes,No,Yes,No,No,No,No,Or do you live in some other type of living arrangement? Please specify:,Duplex,Rent,,Yes,Yes,I already have this feature in my home,I already have this feature in my home,I already have this feature in my home,I already have this feature in my home,Yes,Not sure,,No,No,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Not sure,Yes,Yes,Yes,Yes,No,,,,Not very likely,A major reason,A major reason,A major reason,A minor reason,A major reason,A major reason,A minor reason,A major reason,A major reason,A major reason,1,1,1,0,0,0,0,No,No,,0,,,,,,,,,Yes,Not too familiar,Somewhat willing,Extremely important,Extremely important,Extremely important,Very important,Somewhat important,Very important,Extremely important,Extremely important,Very important,Very important,Somewhat important,Extremely important,Extremely important,Very important,Extremely important,Very important,Very important,3.0,5.0,3.0,5.0,5.0,5.0,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,Very important,Very important,Somewhat important,Extremely important,Extremely important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat interested,Very willing,No,Yes,No,No,No,No,Very good,No,,Several times a week,0,1,1,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,Yes,No,Extremely likely,Employed full-time,,Always,Lean Democrat,Lean Democrat,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Rural area,2018-03-29 17:33:21,2018-03-29 17:52:30,19.0,Web Interview,English,Smartphone,,Male,39.0,30-44,35-44,"White, non-Hispanic",Associate degree,Some college,Married,Working - as a paid employee,"$100,000 to $124,999",Wisconsin,Midwest,East North Central,Non-Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,3.0,0.0,1.0,0.0,0.0,2.0,30-39,18-49,18-44,35-49,18-44,30-44,$75K+,30-39,18-44,18-44,18-44,NOT LGBT,No,,No,0.0,No,Small Town-Rural,18-49,18-49,18-49,35-49,Gen X,18-44,,Other,Selected,Rent,,Yes,Other,Other,Other,Other,1.0,0,3,0,0,1,0
1210,1210,5139.0,0.5290676588,Straight (that is not gay/lesbian),Somewhat agree,Somewhat disagree,Move to a different community,No,Yes,Yes,No,No,No,Yes,A single family house,,Own,,No,,,,,,,,,No,No,,,,,,,,,A major reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,DON’T KNOW,A major reason,Not a reason,Yes,Yes,Yes,Yes,,,,Yes,No,,,,Somewhat likely,Not a reason,A minor reason,Not a reason,Not a reason,A minor reason,A minor reason,A minor reason,Not a reason,A minor reason,Not a reason,0,1,0,0,0,0,0,Yes,No,,0,,,,,,,,,Yes,Somewhat familiar,Not very willing,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Not very important,Somewhat important,Not very important,Not very important,Very important,Very important,Very important,3.0,3.0,3.0,3.0,4.0,2.0,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Not very important,Somewhat important,Not at all important,Very important,Somewhat important,Not very important,Somewhat important,Somewhat important,Not very important,Very important,Somewhat important,Somewhat important,Somewhat important,Not very interested,Not very willing,Yes,Yes,Yes,Yes,No,Yes,Good,No,,Several times a week,1,1,1,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,Yes,No,Very likely,Employed full-time,,Always,Democrat,Strong Democrat,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Suburban with a mix of offices, apartments and shops",2018-03-29 00:17:11,2018-03-29 19:50:07,1172.0,Phone interview,English,Phone interview (not online),,Male,63.0,60+,55-64,"White, non-Hispanic",Bachelors degree,BA or above,Married,Working - as a paid employee,"$100,000 to $124,999",Utah,West,Mountain,Metro Area,Non-internet household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have a landline, but mostly use cellphone",4.0,0.0,0.0,0.0,0.0,1.0,60-64,50+,45+,50-64,60-69,60+,$75K+,50-64,50-64,60-69,50-64,NOT LGBT,No,,No,0.0,No,Suburban,50-64,50-64,50-64,50+,Baby Boomers,45-64,45-64,Other,Selected,Own,,Yes,Yes,Yes,Other,Yes,4.0,0,1,1,0,0,1
1211,1211,5148.0,1.2309493037,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Move into a different residence within your current community,Yes,Yes,Yes,Yes,Yes,No,Yes,A single family house,,Own,,Not sure,,,,,,,,,No,Not sure,,,,,,,,,A major reason,A major reason,Not a reason,SKIPPED ON WEB,Not a reason,Not a reason,A major reason,A major reason,Not a reason,Yes,No,Yes,Yes,,,,Yes,Yes,I have used it before but do not regularly use it,Personal,Somewhat satisfied,Somewhat likely,Not a reason,A major reason,Not a reason,Not a reason,A major reason,A major reason,Not a reason,Not a reason,Not a reason,Not a reason,0,1,1,0,0,1,0,No,No,,0,,,,,,,,,No,,Somewhat willing,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Very important,Very important,Somewhat important,Extremely important,Somewhat important,Extremely important,Extremely important,Very important,4.0,4.0,4.0,5.0,5.0,5.0,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Very important,Very important,Very important,Extremely important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat interested,Somewhat willing,No,Yes,Yes,No,Yes,No,Very good,"Yes, my [Y_D7A]",,Everyday,0,0,0,Yes,No,No,No,No,No,Yes,No,No,No,0.0,,No,Yes,,Retired and not working at all,Speak Spanish and English equally,Most of the time,Republican,Moderate Republican,Not a source,Major source,Not a source,Not a source,Not a source,Not a source,Major source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Urban near mix of offices, apartments and shops",2018-03-31 00:11:48,2018-04-02 10:49:31,3517.0,Web Interview,English,Smartphone,,Female,66.0,60+,65-74,Hispanic,"Some college, no degree",Some college,Married,Not working - retired,"$40,000 to $49,999",Florida,South,South Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",2.0,0.0,0.0,0.0,0.0,2.0,65+,50+,45+,65+,60-69,60+,"$25K-$49,999K",65+,65+,60-69,65-74,NOT LGBT,Yes,,Yes disability,0.0,Yes disability,Urban,65+,65+,65+,50+,Baby Boomers,65-74,65-74,Other,Selected,Own,,Yes,Yes,Other,Yes,Other,3.0,0,3,0,0,1,1
1212,1212,5153.0,2.4116599926,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Stay in your current residence and never move,Yes,No,Yes,No,Yes,No,Yes,A single family house,,Own,,Yes,Yes,No,No,No,No,No,No,,No,No,,,,,,,,,A major reason,Not a reason,A minor reason,A major reason,Not a reason,Not a reason,A major reason,A major reason,A major reason,No,No,No,No,No,No,No,Yes,No,,,,Not at all likely,A major reason,A major reason,A minor reason,Not a reason,A major reason,A minor reason,Not a reason,Not a reason,A minor reason,Not a reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Somewhat familiar,Not at all willing,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Extremely important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,4.0,3.0,4.0,3.0,3.0,3.0,Very important,Very important,Not very important,Not very important,Very important,Extremely important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Not at all interested,Not at all willing,No,No,No,No,No,No,Very good,No,,Less than monthly,1,1,1,Yes,No,Yes,No,No,No,No,No,No,No,0.0,,No,No,Somewhat likely,Retired and not working at all,,Always,Republican,Moderate Republican,Not a source,Minor source,Major source,Not a source,Not a source,Not a source,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,SKIPPED ON WEB,,Urban and mostly residential,2018-03-28 19:37:40,2018-03-28 19:50:18,12.0,Web Interview,English,Desktop,,Male,65.0,60+,65-74,"White, non-Hispanic","Some college, no degree",Some college,Married,Not working - retired,"$60,000 to $74,999",Virginia,South,South Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,2.0,0.0,0.0,0.0,0.0,2.0,65+,50+,45+,65+,60-69,60+,"$50K-$74,999K",65+,65+,60-69,65-74,NOT LGBT,No,,No,0.0,No,Urban,65+,65+,65+,50+,Baby Boomers,65-74,65-74,Other,Selected,Own,,Other,Other,Other,Other,Other,0.0,0,1,1,0,0,1
1213,1213,5158.0,0.5552537853,Straight (that is not gay/lesbian),Strongly agree,Strongly agree,Move to a different community,Yes,Yes,Yes,Yes,No,No,Yes,A single family house,,Own,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,No,Yes,Not a reason,A minor reason,A major reason,A minor reason,A major reason,A minor reason,Not a reason,A major reason,,,,,,,,,,Yes,Yes,Yes,Yes,,,,Yes,No,,,,Somewhat likely,A minor reason,A major reason,A minor reason,Not a reason,A minor reason,A minor reason,A minor reason,Not a reason,A minor reason,A major reason,0,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Somewhat familiar,Somewhat willing,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Very important,3.0,4.0,4.0,4.0,4.0,4.0,Very important,Very important,Very important,Very important,Extremely important,Very important,Extremely important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Extremely important,Extremely important,Somewhat important,Very important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,Very important,Very important,Extremely important,Very interested,Very willing,Yes,No,No,No,No,No,Excellent,,No,Several times a week,1,1,1,Yes,,,,,,,,,,0.0,"No, I never served",Yes,No,Very likely,Unemployed and looking for work,,Always,Lean Democrat,Lean Democrat,Not a source,Not a source,Minor source,Not a source,Not a source,Not a source,Minor source,Minor source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,Rural area,2018-03-27 14:22:06,2018-03-27 14:38:35,16.0,Web Interview,English,Smartphone,,Female,60.0,60+,55-64,"White, non-Hispanic",Professional or Doctorate degree,BA or above,Divorced,Working - as a paid employee,"$125,000 to $149,999",Colorado,West,Mountain,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,"Have cellphone, but mostly use landline",1.0,0.0,0.0,0.0,0.0,1.0,60-64,50+,45+,50-64,60-69,60+,$75K+,50-64,50-64,60-69,50-64,NOT LGBT,,,0.0,No,No,Small Town-Rural,50-64,50-64,50-64,50+,Baby Boomers,45-64,45-64,Other,Selected,Own,,Other,Other,Other,Other,Other,0.0,0,1,1,0,0,1
1214,1214,5172.0,0.962095691,Straight (that is not gay/lesbian),Somewhat agree,Somewhat agree,Move to a different community,Yes,No,No,No,Yes,Yes,Yes,A single family house,,Own,,Not sure,,,,,,,,,No,Not sure,,,,,,,,,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,Not a reason,A major reason,A major reason,Not a reason,Yes,Yes,Yes,Yes,,,,Yes,No,,,,Not at all likely,A major reason,A major reason,A minor reason,Not a reason,A minor reason,A minor reason,A major reason,Not a reason,A major reason,Not a reason,1,1,0,0,0,0,0,No,No,,0,,,,,,,,,Yes,Not too familiar,Not very willing,Extremely important,Extremely important,Very important,Somewhat important,Extremely important,Extremely important,Not very important,Not very important,Extremely important,Very important,Somewhat important,Extremely important,Extremely important,Somewhat important,Extremely important,Very important,Very important,3.0,3.0,3.0,3.0,4.0,4.0,Extremely important,Extremely important,Extremely important,Not very important,Very important,Somewhat important,Very important,Somewhat important,Very important,Somewhat important,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Somewhat important,Extremely important,Extremely important,Somewhat important,Very important,Very important,Very important,Very important,Not at all interested,Not very willing,No,Yes,Yes,No,No,Yes,Very good,No,,Several times a week,0,0,0,Yes,No,No,Yes,No,No,Yes,No,No,No,0.0,,No,No,Very likely,Employed full-time,,Always,Republican,Moderate Republican,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,Not a source,,"Suburban with a mix of offices, apartments and shops",2018-03-27 17:30:04,2018-03-27 17:47:18,17.0,Web Interview,English,Smartphone,,Male,37.0,30-44,35-44,"White, non-Hispanic",Masters degree,BA or above,Married,Working - as a paid employee,"$75,000 to $84,999",Florida,South,South Atlantic,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Cellphone only,3.0,0.0,1.0,0.0,0.0,2.0,30-39,18-49,18-44,35-49,18-44,30-44,$75K+,30-39,18-44,18-44,18-44,NOT LGBT,No,,No,0.0,No,Suburban,18-49,18-49,18-49,35-49,Gen Y,18-44,,Other,Selected,Own,,Yes,Yes,Other,Other,Yes,3.0,0,2,1,0,0,0
1217,1217,5177.0,0.5749259044,Straight (that is not gay/lesbian),Somewhat agree,Somewhat agree,Stay in your current residence and never move,Yes,Yes,No,Yes,Yes,No,No,A single family house,,Own,,No,,,,,,,,,No,No,,,,,,,,,A major reason,A major reason,SKIPPED ON WEB,Not a reason,A major reason,Not a reason,Not a reason,A major reason,Not a reason,Yes,Yes,Yes,No,Yes,No,No,Yes,No,,,,Not at all likely,A minor reason,A major reason,A minor reason,A minor reason,A major reason,A major reason,A minor reason,Not a reason,A major reason,Not a reason,1,1,0,0,0,0,1,No,SKIPPED ON WEB,,0,,,,,,,,,Yes,Somewhat familiar,Not at all willing,Somewhat important,Extremely important,Somewhat important,Very important,Extremely important,Extremely important,Very important,Somewhat important,Extremely important,Very important,Not at all important,Somewhat important,Not very important,Not very important,Very important,Very important,Very important,4.0,4.0,4.0,4.0,3.0,4.0,Somewhat important,Extremely important,Somewhat important,Not very important,Very important,Very important,Very important,Somewhat important,Not at all important,Not at all important,Very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very important,Not at all important,Not very important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Not very interested,Not very willing,Yes,No,No,No,No,No,Good,,No,Several times a week,2,1,1,Yes,,,,,,,,,,0.0,"Yes, I served in the past",Yes,No,Not very likely,Retired and not working at all,,Always,Lean Republican,Lean Republican,Not a source,Major source,Not a source,Not a source,Not a source,Not a source,Minor source,Major source,Not a source,Not a source,Not a source,Not a source,Not a source,SKIPPED ON WEB,,Suburban and mostly residential,2018-03-23 18:34:57,2018-03-23 18:59:32,24.0,Web Interview,English,Desktop,,Male,70.0,60+,65-74,"White, non-Hispanic","Some college, no degree",Some college,Divorced,Not working - retired,"$50,000 to $59,999",Ohio,Midwest,East North Central,Metro Area,Internet Household,Owned or being bought by you or someone in your household,A one-family house detached from any other house,Landline telephone only,1.0,0.0,0.0,0.0,0.0,1.0,65+,50+,45+,65+,70+,60+,"$50K-$74,999K",65+,65+,70+,65-74,NOT LGBT,,,0.0,No,No,Suburban,65+,65+,65+,50+,Baby Boomers,65-74,65-74,Other,Selected,Own,,Other,Other,Other,Other,Other,0.0,1,3,0,0,1,1
