,AGE4,INCOME,D6,D8,D9C,D18,D26,MARITAL,EDUC4,RACETHNICITY,GENDER,HHSIZE,INCOME_recode,AGE4_recode,D6_recode,D8_recode,D9C_recode,D18_recode,D26_recode,MARITAL_recode,EDUC4_recode,RACETHNICITY_recode,GENDER_recode
380,30-44,"$85,000 to $99,999",Excellent,Everyday,Never,Self-employed full-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,3,13,2,5,7,1,1,2,0,4,1,2
381,30-44,"$75,000 to $84,999",Very good,Several times a week,Sometimes,Employed full-time,Small town,Married,BA or above,"White, non-Hispanic",Male,3,12,2,4,6,3,1,1,0,4,1,2
382,30-44,"$35,000 to $39,999",Good,Less than monthly,Rarely,Employed full-time,Small town,Married,Some college,"Black, non-Hispanic",Male,2,8,2,3,2,2,1,1,0,3,4,2
383,45-59,"Less than $5,000",Fair,Everyday,Sometimes,Or are you not in the labor force for other reasons,Rural area,Separated,HS graduate or equivalent,"Black, non-Hispanic",Male,1,1,3,2,7,3,4,1,2,2,4,2
384,30-44,"$85,000 to $99,999",Good,Everyday,Rarely,Employed full-time,Rural area,Living with partner,Some college,"Black, non-Hispanic",Female,6,13,2,3,7,2,1,1,1,3,4,1
385,18-29,"$50,000 to $59,999",Fair,Several times a week,Sometimes,Or are you not in the labor force for other reasons,Small town,Married,HS graduate or equivalent,"White, non-Hispanic",Female,5,10,1,2,6,3,4,1,0,2,1,1
386,30-44,"$100,000 to $124,999",Very good,Everyday,Never,Self-employed part-time,Rural area,Married,Some college,"White, non-Hispanic",Female,5,14,2,4,7,1,2,1,0,3,1,1
387,60+,"$20,000 to $24,999",Very good,Once a month,Never,Retired and not working at all,Small town,Living with partner,HS graduate or equivalent,"White, non-Hispanic",Female,2,5,4,4,3,1,3,1,1,2,1,1
388,18-29,"Less than $5,000",Fair,Everyday,Sometimes,Unemployed and looking for work,"Urban near mix of offices, apartments and shops",Never married,HS graduate or equivalent,"Black, non-Hispanic",Female,5,1,1,2,7,3,4,2,1,2,4,1
389,60+,"$60,000 to $74,999",Very good,Everyday,Never,Retired and not working at all,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Female,2,11,4,4,7,1,3,2,0,3,1,1
390,45-59,"$40,000 to $49,999",Excellent,Everyday,Rarely,Employed full-time,Small town,Divorced,BA or above,"Black, non-Hispanic",Female,2,9,3,5,7,2,1,1,2,4,4,1
391,18-29,"$60,000 to $74,999",Good,Several times a week,Rarely,Self-employed full-time,Suburban and mostly residential,Never married,Some college,"White, non-Hispanic",Female,3,11,1,3,6,2,1,2,1,3,1,1
392,30-44,"$100,000 to $124,999",Excellent,Everyday,Never,Employed full-time,Small town,Married,BA or above,"White, non-Hispanic",Male,3,14,2,5,7,1,1,1,0,4,1,2
393,30-44,"$85,000 to $99,999",Very good,Once a week,Never,Employed full-time,Small town,Married,BA or above,"White, non-Hispanic",Male,3,13,2,4,5,1,1,1,0,4,1,2
394,45-59,"$35,000 to $39,999",Fair,Several times a week,Never,Self-employed full-time,Urban and mostly residential,Married,No HS diploma,Hispanic,Female,5,8,3,2,6,1,1,2,0,1,2,1
395,60+,"$20,000 to $24,999",Poor,Less than monthly,Sometimes,Retired and not working at all,Rural area,Married,Some college,"White, non-Hispanic",Male,3,5,4,1,2,3,3,1,0,3,1,2
396,45-59,"$100,000 to $124,999",Very good,Everyday,Sometimes,Employed part-time,Small town,Married,BA or above,"White, non-Hispanic",Female,3,14,3,4,7,3,2,1,0,4,1,1
397,45-59,"$75,000 to $84,999",Very good,Several times a week,Never,Employed full-time,Urban and mostly residential,Separated,Some college,Hispanic,Male,4,12,3,4,6,1,1,2,2,3,2,2
398,18-29,"$50,000 to $59,999",Very good,Several times a week,Rarely,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,"White, non-Hispanic",Female,4,10,1,4,6,2,1,2,1,3,1,1
399,30-44,"$20,000 to $24,999",Good,Several times a week,Rarely,Employed full-time,Small town,Married,No HS diploma,"White, non-Hispanic",Female,4,5,2,3,6,2,1,1,0,1,1,1
400,60+,"$85,000 to $99,999",Excellent,Several times a week,Sometimes,Employed part-time,"Suburban with a mix of offices, apartments and shops",Divorced,BA or above,"White, non-Hispanic",Female,1,13,4,5,6,3,2,2,2,4,1,1
401,45-59,"$85,000 to $99,999",Excellent,Several times a week,Never,Employed full-time,Rural area,Married,HS graduate or equivalent,"White, non-Hispanic",Female,2,13,3,5,6,1,1,1,0,2,1,1
402,18-29,"$20,000 to $24,999",Very good,Once a week,Sometimes,Employed full-time,Suburban and mostly residential,Never married,HS graduate or equivalent,Hispanic,Female,4,5,1,4,5,3,1,2,1,2,2,1
403,30-44,"$60,000 to $74,999",Very good,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Never married,BA or above,"White, non-Hispanic",Female,2,11,2,4,6,2,1,2,1,4,1,1
404,18-29,"$10,000 to $14,999",Very good,Several times a week,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,Some college,Hispanic,Male,2,3,1,4,6,3,1,2,1,3,2,2
405,30-44,"$25,000 to $29,999",Good,Several times a week,Never,Employed part-time,Urban and mostly residential,Never married,HS graduate or equivalent,Hispanic,Male,1,6,2,3,6,1,2,2,1,2,2,2
406,18-29,"$25,000 to $29,999",Very good,Several times a week,Rarely,Employed full-time,Suburban and mostly residential,Never married,Some college,Hispanic,Male,5,6,1,4,6,2,1,2,1,3,2,2
407,30-44,"$35,000 to $39,999",Very good,Several times a week,Never,Or are you not in the labor force for other reasons,Rural area,Divorced,HS graduate or equivalent,"White, non-Hispanic",Male,4,8,2,4,6,1,4,1,2,2,1,2
408,18-29,"$60,000 to $74,999",Good,Once a month,Sometimes,Self-employed full-time,"Urban near mix of offices, apartments and shops",Never married,HS graduate or equivalent,Hispanic,Male,4,11,1,3,3,3,1,2,1,2,2,2
409,18-29,"$25,000 to $29,999",Good,Several times a week,Never,Employed full-time,"Urban near mix of offices, apartments and shops",Married,Some college,Hispanic,Male,3,6,1,3,6,1,1,2,0,3,2,2
410,45-59,"$200,000 or more",Excellent,Everyday,Never,Self-employed full-time,Small town,Married,BA or above,"White, non-Hispanic",Male,4,18,3,5,7,1,1,1,0,4,1,2
411,30-44,"$85,000 to $99,999",Excellent,Several times a week,Never,Employed full-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,2,13,2,5,6,1,1,2,0,4,1,2
412,45-59,"$50,000 to $59,999",Very good,Several times a week,Never,Self-employed part-time,Suburban and mostly residential,Married,BA or above,"Black, non-Hispanic",Female,6,10,3,4,6,1,2,2,0,4,4,1
413,30-44,"$200,000 or more",Excellent,Everyday,Never,Employed full-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,2,18,2,5,7,1,1,2,0,4,1,2
414,45-59,"$200,000 or more",Good,Everyday,Never,Employed full-time,Rural area,Married,BA or above,"White, non-Hispanic",Male,5,18,3,3,7,1,1,1,0,4,1,2
415,45-59,"$10,000 to $14,999",Good,Once a week,Rarely,Unemployed and looking for work,"Suburban with a mix of offices, apartments and shops",Separated,No HS diploma,Hispanic,Female,4,3,3,3,5,2,4,2,2,1,2,1
416,18-29,"$30,000 to $34,999",Excellent,Everyday,Rarely,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,BA or above,"Black, non-Hispanic",Male,1,7,1,5,7,2,1,2,1,4,4,2
417,60+,"$10,000 to $14,999",Very good,Everyday,Rarely,Retired and not working at all,"Urban near mix of offices, apartments and shops",Never married,Some college,"Black, non-Hispanic",Male,1,3,4,4,7,2,3,2,1,3,4,2
418,18-29,"$40,000 to $49,999",Very good,Everyday,Sometimes,Employed full-time,Small town,Never married,HS graduate or equivalent,Hispanic,Male,4,9,1,4,7,3,1,1,1,2,2,2
419,30-44,"$40,000 to $49,999",Very good,Several times a week,Sometimes,Or are you not in the labor force for other reasons,Rural area,Married,Some college,"2+, non-Hispanic",Female,5,9,2,4,6,3,4,1,0,3,3,1
420,60+,"$5,000 to $9,999",Very good,Everyday,Never,Retired and not working at all,"Suburban with a mix of offices, apartments and shops",Divorced,BA or above,"Black, non-Hispanic",Male,1,2,4,4,7,1,3,2,2,4,4,2
421,60+,"$10,000 to $14,999",Good,Everyday,Never,Retired and not working at all,Urban and mostly residential,Never married,HS graduate or equivalent,"Black, non-Hispanic",Male,1,3,4,3,7,1,3,2,1,2,4,2
422,45-59,"$50,000 to $59,999",Very good,Several times a week,Never,Employed part-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,5,10,3,4,6,1,2,2,0,4,1,1
423,60+,"$50,000 to $59,999",Fair,Everyday,Rarely,Retired and not working at all,"Urban near mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Male,2,10,4,2,7,2,3,2,0,3,1,2
424,45-59,"$75,000 to $84,999",Excellent,Several times a week,Never,Employed full-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,2,12,3,5,6,1,1,2,0,4,1,1
425,18-29,"$25,000 to $29,999",Very good,Several times a week,Never,Employed full-time,Urban and mostly residential,Never married,Some college,"White, non-Hispanic",Female,3,6,1,4,6,1,1,2,1,3,1,1
426,60+,"$25,000 to $29,999",Fair,Everyday,Never,Retired and not working at all,Urban and mostly residential,Never married,BA or above,"Black, non-Hispanic",Male,1,6,4,2,7,1,3,2,1,4,4,2
427,30-44,"$40,000 to $49,999",Poor,Several times a week,Often,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,Some college,"Black, non-Hispanic",Male,2,9,2,1,6,4,1,2,1,3,4,2
428,45-59,"$200,000 or more",Very good,Everyday,Rarely,Or are you not in the labor force for other reasons,Small town,Married,Some college,"White, non-Hispanic",Female,3,18,3,4,7,2,4,1,0,3,1,1
429,30-44,"$60,000 to $74,999",Very good,Several times a week,Sometimes,Employed full-time,Urban and mostly residential,Never married,BA or above,"Asian, non-Hispanic",Male,1,11,2,4,6,3,1,2,1,4,5,2
430,45-59,"$75,000 to $84,999",Fair,Once a week,Sometimes,Retired and not working at all,"Suburban with a mix of offices, apartments and shops",Divorced,Some college,"White, non-Hispanic",Female,1,12,3,2,5,3,3,2,2,3,1,1
431,18-29,"$10,000 to $14,999",Excellent,Once a week,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,"Black, non-Hispanic",Female,5,3,1,5,5,3,1,2,1,3,4,1
432,30-44,"$40,000 to $49,999",Excellent,Less than monthly,Rarely,Employed full-time,Suburban and mostly residential,Living with partner,Some college,"White, non-Hispanic",Male,4,9,2,5,2,2,1,2,1,3,1,2
433,18-29,"$50,000 to $59,999",Excellent,Once a month,Never,Employed part-time,Small town,Never married,Some college,"Black, non-Hispanic",Female,4,10,1,5,3,1,2,1,1,3,4,1
434,30-44,"$35,000 to $39,999",Good,Several times a week,Rarely,Retired and not working at all,Small town,Divorced,Some college,"Black, non-Hispanic",Male,3,8,2,3,6,2,3,1,2,3,4,2
435,45-59,"$15,000 to $19,999",Good,Once a week,Sometimes,Employed part-time,Rural area,Married,HS graduate or equivalent,"White, non-Hispanic",Male,2,4,3,3,5,3,2,1,0,2,1,2
436,60+,"$85,000 to $99,999",Very good,Once a week,Sometimes,Employed part-time,Small town,Married,HS graduate or equivalent,"White, non-Hispanic",Male,2,13,4,4,5,3,2,1,0,2,1,2
437,30-44,"$10,000 to $14,999",Very good,Once every 2 or 3 weeks,Never,Or are you not in the labor force for other reasons,Suburban and mostly residential,Living with partner,HS graduate or equivalent,"White, non-Hispanic",Male,2,3,2,4,4,1,4,2,1,2,1,2
438,30-44,"$85,000 to $99,999",Good,Everyday,Rarely,Unemployed and looking for work,Urban and mostly residential,Married,HS graduate or equivalent,"White, non-Hispanic",Male,3,13,2,3,7,2,4,2,0,2,1,2
439,60+,"$100,000 to $124,999",Very good,Several times a week,Rarely,Self-employed full-time,Small town,Married,BA or above,"White, non-Hispanic",Female,3,14,4,4,6,2,1,1,0,4,1,1
440,60+,"$15,000 to $19,999",Good,Several times a week,Never,Employed full-time,Small town,Never married,HS graduate or equivalent,"Black, non-Hispanic",Female,2,4,4,3,6,1,1,1,1,2,4,1
441,30-44,"$5,000 to $9,999",Good,Everyday,Never,Employed full-time,Small town,Living with partner,Some college,"Black, non-Hispanic",Female,6,2,2,3,7,1,1,1,1,3,4,1
442,30-44,"$40,000 to $49,999",Very good,Everyday,Never,Employed full-time,Rural area,Living with partner,Some college,"2+, non-Hispanic",Female,2,9,2,4,7,1,1,1,1,3,3,1
443,60+,"$10,000 to $14,999",Good,Several times a week,Never,Retired and not working at all,Urban and mostly residential,Widowed,HS graduate or equivalent,Hispanic,Female,1,3,4,3,6,1,3,2,2,2,2,1
444,30-44,"$5,000 to $9,999",Fair,Several times a week,Sometimes,Self-employed full-time,"Urban near mix of offices, apartments and shops",Never married,Some college,"White, non-Hispanic",Male,1,2,2,2,6,3,1,2,1,3,1,2
446,60+,"$85,000 to $99,999",Very good,Everyday,Never,Retired and not working at all,Rural area,Married,HS graduate or equivalent,Hispanic,Male,2,13,4,4,7,1,3,1,0,2,2,2
447,45-59,"$60,000 to $74,999",Good,Several times a week,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Male,2,11,3,3,6,3,1,2,0,3,1,2
448,45-59,"$125,000 to $149,999",Excellent,Everyday,Never,Employed part-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,3,15,3,5,7,1,2,2,0,4,1,1
449,45-59,"$20,000 to $24,999",Fair,Several times a week,Never,Employed part-time,Urban and mostly residential,Divorced,HS graduate or equivalent,"Black, non-Hispanic",Male,3,5,3,2,6,1,2,2,2,2,4,2
450,60+,"$40,000 to $49,999",Good,Once a week,Rarely,Retired and not working at all,Small town,Married,HS graduate or equivalent,"White, non-Hispanic",Female,2,9,4,3,5,2,3,1,0,2,1,1
451,30-44,"$15,000 to $19,999",Good,Once a week,Never,Or are you not in the labor force for other reasons,Rural area,Separated,HS graduate or equivalent,"White, non-Hispanic",Male,4,4,2,3,5,1,4,1,2,2,1,2
452,30-44,"$85,000 to $99,999",Good,Several times a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,HS graduate or equivalent,"White, non-Hispanic",Female,2,13,2,3,6,1,1,2,0,2,1,1
453,45-59,"$85,000 to $99,999",Good,Several times a week,Rarely,Unemployed and looking for work,"Urban near mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Male,2,13,3,3,6,2,4,2,0,3,1,2
454,30-44,"$25,000 to $29,999",Very good,Once a month,Never,Employed part-time,Small town,Never married,Some college,"Black, non-Hispanic",Female,4,6,2,4,3,1,2,1,1,3,4,1
455,30-44,"$200,000 or more",Good,Once every 2 or 3 weeks,Sometimes,Employed full-time,"Suburban with a mix of offices, apartments and shops",Living with partner,Some college,"White, non-Hispanic",Male,4,18,2,3,4,3,1,2,1,3,1,2
456,18-29,"$10,000 to $14,999",Very good,Everyday,Never,Unemployed and looking for work,Suburban and mostly residential,Never married,HS graduate or equivalent,"Black, non-Hispanic",Male,3,3,1,4,7,1,4,2,1,2,4,2
457,30-44,"$85,000 to $99,999",Fair,Never,Sometimes,Self-employed full-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,6,13,2,2,1,3,1,2,0,4,1,1
458,60+,"$10,000 to $14,999",Fair,Several times a week,Never,Retired and not working at all,"Urban near mix of offices, apartments and shops",Never married,HS graduate or equivalent,"Black, non-Hispanic",Female,1,3,4,2,6,1,3,2,1,2,4,1
459,45-59,"$40,000 to $49,999",Very good,Several times a week,Never,Employed full-time,Rural area,Married,Some college,"Other, non-Hispanic",Male,5,9,3,4,6,1,1,1,0,3,6,2
460,60+,"$85,000 to $99,999",Fair,Everyday,Rarely,Retired and not working at all,Suburban and mostly residential,Never married,Some college,"Black, non-Hispanic",Male,1,13,4,2,7,2,3,2,1,3,4,2
461,45-59,"$25,000 to $29,999",Very good,Once a week,Rarely,Self-employed part-time,Suburban and mostly residential,Never married,BA or above,"White, non-Hispanic",Male,1,6,3,4,5,2,2,2,1,4,1,2
462,18-29,"$85,000 to $99,999",Fair,Several times a week,Sometimes,Employed part-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,"White, non-Hispanic",Male,1,13,1,2,6,3,2,2,1,3,1,2
463,30-44,"$75,000 to $84,999",Good,Everyday,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,Some college,Hispanic,Male,3,12,2,3,7,3,1,2,1,3,2,2
464,18-29,"Less than $5,000",Excellent,Everyday,Rarely,Employed full-time,Urban and mostly residential,Never married,Some college,"White, non-Hispanic",Male,1,1,1,5,7,2,1,2,1,3,1,2
466,18-29,"$15,000 to $19,999",Fair,Once a week,Often,Unemployed and looking for work,Suburban and mostly residential,Never married,Some college,"Other, non-Hispanic",Female,4,4,1,2,5,4,4,2,1,3,6,1
467,30-44,"$150,000 to $174,999",Good,Several times a week,Rarely,Employed full-time,"Suburban with a mix of offices, apartments and shops",Divorced,Some college,"White, non-Hispanic",Male,2,16,2,3,6,2,1,2,2,3,1,2
468,45-59,"$85,000 to $99,999",Very good,Several times a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,4,13,3,4,6,1,1,2,0,4,1,2
469,60+,"$60,000 to $74,999",Very good,Everyday,Rarely,Retired and not working at all,Rural area,Married,BA or above,"White, non-Hispanic",Male,2,11,4,4,7,2,3,1,0,4,1,2
470,45-59,"$50,000 to $59,999",Excellent,Everyday,Never,Retired and not working at all,"Urban near mix of offices, apartments and shops",Divorced,HS graduate or equivalent,"White, non-Hispanic",Female,1,10,3,5,7,1,3,2,2,2,1,1
471,18-29,"$40,000 to $49,999",Fair,Once a week,Sometimes,Unemployed and looking for work,"Suburban with a mix of offices, apartments and shops",Living with partner,Some college,Hispanic,Male,4,9,1,2,5,3,4,2,1,3,2,2
472,60+,"$100,000 to $124,999",Good,Several times a week,Never,Retired and not working at all,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,3,14,4,3,6,1,3,2,0,4,1,2
473,60+,"$40,000 to $49,999",Very good,Everyday,Rarely,Or are you not in the labor force for other reasons,Suburban and mostly residential,Married,Some college,"2+, non-Hispanic",Female,3,9,4,4,7,2,4,2,0,3,3,1
474,45-59,"Less than $5,000",Good,Everyday,Never,Employed part-time,Urban and mostly residential,Widowed,Some college,Hispanic,Male,1,1,3,3,7,1,2,2,2,3,2,2
475,30-44,"$40,000 to $49,999",Very good,Everyday,Often,Employed full-time,Urban and mostly residential,Living with partner,BA or above,"White, non-Hispanic",Female,3,9,2,4,7,4,1,2,1,4,1,1
476,18-29,"$40,000 to $49,999",Very good,Once a week,Sometimes,Employed part-time,Suburban and mostly residential,Living with partner,Some college,"White, non-Hispanic",Female,2,9,1,4,5,3,2,2,1,3,1,1
477,60+,"$60,000 to $74,999",Excellent,Once every 2 or 3 weeks,Never,Retired and not working at all,Small town,Married,BA or above,"White, non-Hispanic",Male,2,11,4,5,4,1,3,1,0,4,1,2
478,45-59,"$20,000 to $24,999",Fair,Once a month,Sometimes,Employed full-time,Urban and mostly residential,Married,Some college,"White, non-Hispanic",Female,5,5,3,2,3,3,1,2,0,3,1,1
479,18-29,"$40,000 to $49,999",Good,Several times a week,Often,Or are you not in the labor force for other reasons,Urban and mostly residential,Living with partner,Some college,"White, non-Hispanic",Male,3,9,1,3,6,4,4,2,1,3,1,2
480,30-44,"$85,000 to $99,999",Very good,Once a week,Rarely,Employed full-time,Suburban and mostly residential,Married,Some college,"2+, non-Hispanic",Male,3,13,2,4,5,2,1,2,0,3,3,2
481,30-44,"$75,000 to $84,999",Very good,Several times a week,Never,Employed full-time,Urban and mostly residential,Never married,BA or above,"White, non-Hispanic",Female,1,12,2,4,6,1,1,2,1,4,1,1
482,45-59,"$200,000 or more",Excellent,Several times a week,Never,Self-employed part-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,5,18,3,5,6,1,2,2,0,4,1,1
483,18-29,"$35,000 to $39,999",Good,Everyday,Never,Employed part-time,Urban and mostly residential,Never married,HS graduate or equivalent,Hispanic,Male,2,8,1,3,7,1,2,2,1,2,2,2
484,18-29,"$100,000 to $124,999",Very good,Several times a week,Rarely,Unemployed and looking for work,Suburban and mostly residential,Never married,Some college,"White, non-Hispanic",Female,4,14,1,4,6,2,4,2,1,3,1,1
485,18-29,"$200,000 or more",Very good,Several times a week,Rarely,Employed part-time,Small town,Never married,Some college,Hispanic,Male,4,18,1,4,6,2,2,1,1,3,2,2
486,45-59,"$125,000 to $149,999",Excellent,Once a week,Rarely,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"Other, non-Hispanic",Male,6,15,3,5,5,2,1,2,0,4,6,2
488,18-29,"$125,000 to $149,999",Very good,Once every 2 or 3 weeks,Rarely,Employed part-time,Suburban and mostly residential,Never married,Some college,"Asian, non-Hispanic",Female,3,15,1,4,4,2,2,2,1,3,5,1
489,18-29,"$85,000 to $99,999",Excellent,Less than monthly,Rarely,Employed part-time,"Suburban with a mix of offices, apartments and shops",Never married,HS graduate or equivalent,"Asian, non-Hispanic",Male,4,13,1,5,2,2,2,2,1,2,5,2
490,30-44,"Less than $5,000",Fair,Everyday,Often,Employed part-time,Suburban and mostly residential,Never married,Some college,"Black, non-Hispanic",Male,1,1,2,2,7,4,2,2,1,3,4,2
491,18-29,"$10,000 to $14,999",Good,Once every 2 or 3 weeks,Sometimes,Employed part-time,Urban and mostly residential,Never married,Some college,Hispanic,Male,4,3,1,3,4,3,2,2,1,3,2,2
492,45-59,"$200,000 or more",Very good,Several times a week,Sometimes,Retired and not working at all,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Female,5,18,3,4,6,3,3,2,0,4,1,1
493,60+,"$25,000 to $29,999",Good,Once a week,Rarely,Employed full-time,Suburban and mostly residential,Divorced,Some college,"Black, non-Hispanic",Male,1,6,4,3,5,2,1,2,2,3,4,2
494,18-29,"$20,000 to $24,999",Excellent,Several times a week,Rarely,Employed full-time,Urban and mostly residential,Never married,BA or above,Hispanic,Female,3,5,1,5,6,2,1,2,1,4,2,1
495,18-29,"$200,000 or more",Excellent,Everyday,Never,Employed part-time,Suburban and mostly residential,Never married,Some college,"Asian, non-Hispanic",Female,4,18,1,5,7,1,2,2,1,3,5,1
496,45-59,"$200,000 or more",Very good,Everyday,Sometimes,Employed full-time,Suburban and mostly residential,Living with partner,HS graduate or equivalent,"White, non-Hispanic",Male,2,18,3,4,7,3,1,2,1,2,1,2
497,60+,"$15,000 to $19,999",Good,Once a week,Never,Self-employed full-time,Rural area,Widowed,Some college,"White, non-Hispanic",Male,2,4,4,3,5,1,1,1,2,3,1,2
498,30-44,"$60,000 to $74,999",Very good,Several times a week,Never,Employed part-time,"Suburban with a mix of offices, apartments and shops",Married,Some college,"White, non-Hispanic",Female,2,11,2,4,6,1,2,2,0,3,1,1
499,60+,"$60,000 to $74,999",Fair,Several times a week,Sometimes,Retired and not working at all,"Urban near mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,1,11,4,2,6,3,3,2,1,4,1,2
500,30-44,"$30,000 to $34,999",Very good,Several times a week,Sometimes,Employed full-time,"Urban near mix of offices, apartments and shops",Married,BA or above,"Black, non-Hispanic",Male,3,7,2,4,6,3,1,2,0,4,4,2
501,30-44,"$40,000 to $49,999",Fair,Everyday,Sometimes,Employed full-time,Suburban and mostly residential,Never married,BA or above,"White, non-Hispanic",Male,1,9,2,2,7,3,1,2,1,4,1,2
502,30-44,"$85,000 to $99,999",Excellent,Everyday,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Never married,BA or above,"Black, non-Hispanic",Female,1,13,2,5,7,1,1,2,1,4,4,1
503,45-59,"$40,000 to $49,999",Very good,Once every 2 or 3 weeks,Never,Employed part-time,Rural area,Married,HS graduate or equivalent,"White, non-Hispanic",Female,2,9,3,4,4,1,2,1,0,2,1,1
504,60+,"$85,000 to $99,999",Very good,Everyday,Never,Employed full-time,Suburban and mostly residential,Divorced,BA or above,"White, non-Hispanic",Female,1,13,4,4,7,1,1,2,2,4,1,1
505,45-59,"$40,000 to $49,999",Good,Everyday,Rarely,Employed full-time,Urban and mostly residential,Never married,Some college,"White, non-Hispanic",Male,2,9,3,3,7,2,1,2,1,3,1,2
506,60+,"$10,000 to $14,999",Excellent,Never,Rarely,Retired and not working at all,"Suburban with a mix of offices, apartments and shops",Divorced,BA or above,"White, non-Hispanic",Female,1,3,4,5,1,2,3,2,2,4,1,1
507,30-44,"$25,000 to $29,999",Good,Several times a week,Rarely,Or are you not in the labor force for other reasons,Suburban and mostly residential,Never married,Some college,Hispanic,Female,3,6,2,3,6,2,4,2,1,3,2,1
508,45-59,"$35,000 to $39,999",Fair,Everyday,Rarely,Unemployed and looking for work,Small town,Divorced,Some college,"White, non-Hispanic",Male,1,8,3,2,7,2,4,1,2,3,1,2
509,30-44,"$85,000 to $99,999",Excellent,Everyday,Rarely,Employed full-time,"Urban near mix of offices, apartments and shops",Never married,BA or above,"White, non-Hispanic",Male,1,13,2,5,7,2,1,2,1,4,1,2
510,60+,"$25,000 to $29,999",Fair,Once a week,Rarely,Retired and not working at all,"Urban near mix of offices, apartments and shops",Never married,Some college,"White, non-Hispanic",Male,1,6,4,2,5,2,3,2,1,3,1,2
511,30-44,"$85,000 to $99,999",Excellent,Several times a week,Never,Employed full-time,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,4,13,2,5,6,1,1,2,0,4,1,2
512,30-44,"$125,000 to $149,999",Excellent,Everyday,Never,Employed full-time,Rural area,Married,Some college,"White, non-Hispanic",Male,2,15,2,5,7,1,1,1,0,3,1,2
513,30-44,"$200,000 or more",Very good,Everyday,Never,Or are you not in the labor force for other reasons,Suburban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,3,18,2,4,7,1,4,2,0,4,1,2
514,30-44,"$20,000 to $24,999",Very good,Everyday,Never,Employed full-time,Small town,Married,HS graduate or equivalent,Hispanic,Male,6,5,2,4,7,1,1,1,0,2,2,2
515,18-29,"$35,000 to $39,999",Excellent,Several times a week,Never,Unemployed and looking for work,Urban and mostly residential,Married,No HS diploma,Hispanic,Female,5,8,1,5,6,1,4,2,0,1,2,1
516,45-59,"$20,000 to $24,999",Good,Everyday,Sometimes,Unemployed and looking for work,Suburban and mostly residential,Never married,BA or above,"White, non-Hispanic",Female,1,5,3,3,7,3,4,2,1,4,1,1
518,30-44,"$100,000 to $124,999",Fair,Everyday,Never,Retired and not working at all,"Urban near mix of offices, apartments and shops",Living with partner,No HS diploma,"White, non-Hispanic",Female,2,14,2,2,7,1,3,2,1,1,1,1
519,18-29,"$30,000 to $34,999",Good,Several times a week,Rarely,Employed part-time,"Suburban with a mix of offices, apartments and shops",Never married,Some college,"Black, non-Hispanic",Female,5,7,1,3,6,2,2,2,1,3,4,1
520,60+,"$85,000 to $99,999",Excellent,Several times a week,Never,Employed full-time,"Suburban with a mix of offices, apartments and shops",Married,BA or above,"White, non-Hispanic",Male,2,13,4,5,6,1,1,2,0,4,1,2
521,30-44,"$100,000 to $124,999",Good,Several times a week,Rarely,Self-employed full-time,Suburban and mostly residential,Married,BA or above,"Other, non-Hispanic",Male,3,14,2,3,6,2,1,2,0,4,6,2
522,30-44,"$150,000 to $174,999",Excellent,Once a week,Never,Employed full-time,Suburban and mostly residential,Married,Some college,"White, non-Hispanic",Female,5,16,2,5,5,1,1,2,0,3,1,1
523,18-29,"Less than $5,000",Good,Several times a week,Rarely,Employed full-time,Urban and mostly residential,Married,BA or above,"White, non-Hispanic",Male,5,1,1,3,6,2,1,2,0,4,1,2
